Wavelength(nm)	R_simulated	R_experimental
2.440000e+02	0.584107	0.448840
2.442500e+02	0.590719	0.452150
2.445000e+02	0.597106	0.455250
2.447500e+02	0.603270	0.458160
2.450000e+02	0.609227	0.460660
2.452500e+02	0.614973	0.462930
2.455000e+02	0.620516	0.465260
2.457500e+02	0.625865	0.467400
2.460000e+02	0.631019	0.469140
2.462500e+02	0.635986	0.470590
2.465000e+02	0.640769	0.471910
2.467500e+02	0.645375	0.473130
2.470000e+02	0.649809	0.474520
2.472500e+02	0.654074	0.475990
2.475000e+02	0.658179	0.476840
2.477500e+02	0.662126	0.477680
2.480000e+02	0.665919	0.478210
2.482500e+02	0.669562	0.478590
2.485000e+02	0.673061	0.479360
2.487500e+02	0.676421	0.479990
2.490000e+02	0.679645	0.480360
2.492500e+02	0.682736	0.480750
2.495000e+02	0.685698	0.481370
2.497500e+02	0.688536	0.482040
2.500000e+02	0.691255	0.482290
2.502500e+02	0.693857	0.481900
2.505000e+02	0.696345	0.481160
2.507500e+02	0.698723	0.480370
2.510000e+02	0.700994	0.479650
2.512500e+02	0.703162	0.479030
2.515000e+02	0.705229	0.478400
2.517500e+02	0.707198	0.477730
2.520000e+02	0.709072	0.477110
2.522500e+02	0.710853	0.476620
2.525000e+02	0.712544	0.475980
2.527500e+02	0.714148	0.475320
2.530000e+02	0.715666	0.474900
2.532500e+02	0.717102	0.474390
2.535000e+02	0.718457	0.473720
2.537500e+02	0.719733	0.472780
2.540000e+02	0.720932	0.471560
2.542500e+02	0.722056	0.470300
2.545000e+02	0.723108	0.468910
2.547500e+02	0.724088	0.467670
2.550000e+02	0.724999	0.466620
2.552500e+02	0.725840	0.465500
2.555000e+02	0.726615	0.464160
2.557500e+02	0.727323	0.462760
2.560000e+02	0.727966	0.461480
2.562500e+02	0.728545	0.460480
2.565000e+02	0.729062	0.459380
2.567500e+02	0.729517	0.458060
2.570000e+02	0.729911	0.456600
2.572500e+02	0.730244	0.455020
2.575000e+02	0.730517	0.453660
2.577500e+02	0.730732	0.452080
2.580000e+02	0.730888	0.449930
2.582500e+02	0.730985	0.447860
2.585000e+02	0.731024	0.446350
2.587500e+02	0.731004	0.444970
2.590000e+02	0.730926	0.443430
2.592500e+02	0.730791	0.441340
2.595000e+02	0.730597	0.439090
2.597500e+02	0.730345	0.437320
2.600000e+02	0.730033	0.435720
2.602500e+02	0.729663	0.434060
2.605000e+02	0.729234	0.432370
2.607500e+02	0.728744	0.430520
2.610000e+02	0.728191	0.428870
2.612500e+02	0.727576	0.427000
2.615000e+02	0.726898	0.424790
2.617500e+02	0.726157	0.422700
2.620000e+02	0.725351	0.420450
2.622500e+02	0.724478	0.418230
2.625000e+02	0.723536	0.416270
2.627500e+02	0.722524	0.414460
2.630000e+02	0.721441	0.412560
2.632500e+02	0.720285	0.410650
2.635000e+02	0.719056	0.408630
2.637500e+02	0.717750	0.406420
2.640000e+02	0.716366	0.404030
2.642500e+02	0.714900	0.402060
2.645000e+02	0.713352	0.400430
2.647500e+02	0.711720	0.398530
2.650000e+02	0.710000	0.396680
2.652500e+02	0.708190	0.394800
2.655000e+02	0.706288	0.392390
2.657500e+02	0.704293	0.389830
2.660000e+02	0.702200	0.387820
2.662500e+02	0.700009	0.386110
2.665000e+02	0.697715	0.384240
2.667500e+02	0.695316	0.381970
2.670000e+02	0.692810	0.379010
2.672500e+02	0.690194	0.376260
2.675000e+02	0.687466	0.373740
2.677500e+02	0.684621	0.370990
2.680000e+02	0.681658	0.368450
2.682500e+02	0.678576	0.366150
2.685000e+02	0.675368	0.363490
2.687500e+02	0.672036	0.360950
2.690000e+02	0.668574	0.358950
2.692500e+02	0.664982	0.356690
2.695000e+02	0.661255	0.353910
2.697500e+02	0.657392	0.351050
2.700000e+02	0.653391	0.348080
2.702500e+02	0.649248	0.345240
2.705000e+02	0.644961	0.342800
2.707500e+02	0.640531	0.340230
2.710000e+02	0.635952	0.337730
2.712500e+02	0.631225	0.334810
2.715000e+02	0.626347	0.331340
2.717500e+02	0.621317	0.328320
2.720000e+02	0.616133	0.325590
2.722500e+02	0.610792	0.322860
2.725000e+02	0.605298	0.319830
2.727500e+02	0.599651	0.316220
2.730000e+02	0.593847	0.312490
2.732500e+02	0.587884	0.309240
2.735000e+02	0.581762	0.305830
2.737500e+02	0.575484	0.302560
2.740000e+02	0.569052	0.299470
2.742500e+02	0.562465	0.295960
2.745000e+02	0.555726	0.292210
2.747500e+02	0.548837	0.288810
2.750000e+02	0.541797	0.285490
2.752500e+02	0.534607	0.281850
2.755000e+02	0.527272	0.278130
2.757500e+02	0.519800	0.274390
2.760000e+02	0.512193	0.270210
2.762500e+02	0.504455	0.265900
2.765000e+02	0.496588	0.261870
2.767500e+02	0.488597	0.258200
2.770000e+02	0.480491	0.254430
2.772500e+02	0.472273	0.250370
2.775000e+02	0.463952	0.246320
2.777500e+02	0.455537	0.242300
2.780000e+02	0.447032	0.238200
2.782500e+02	0.438447	0.234100
2.785000e+02	0.429789	0.229790
2.787500e+02	0.421067	0.225500
2.790000e+02	0.412293	0.221330
2.792500e+02	0.403476	0.217220
2.795000e+02	0.394624	0.213450
2.797500e+02	0.385748	0.209550
2.800000e+02	0.376859	0.205400
2.802500e+02	0.367968	0.200860
2.805000e+02	0.359089	0.196620
2.807500e+02	0.350230	0.192630
2.810000e+02	0.341404	0.188120
2.812500e+02	0.332624	0.184010
2.815000e+02	0.323899	0.180180
2.817500e+02	0.315248	0.175910
2.820000e+02	0.306682	0.171700
2.822500e+02	0.298219	0.167910
2.825000e+02	0.289875	0.164340
2.827500e+02	0.281653	0.160300
2.830000e+02	0.273575	0.156040
2.832500e+02	0.265657	0.152300
2.835000e+02	0.257912	0.148680
2.837500e+02	0.250368	0.144730
2.840000e+02	0.243029	0.140620
2.842500e+02	0.235919	0.136730
2.845000e+02	0.229056	0.133150
2.847500e+02	0.222442	0.129460
2.850000e+02	0.216118	0.126200
2.852500e+02	0.210076	0.123140
2.855000e+02	0.204326	0.119630
2.857500e+02	0.198926	0.116130
2.860000e+02	0.193840	0.112650
2.862500e+02	0.189077	0.109600
2.865000e+02	0.184697	0.106880
2.867500e+02	0.180717	0.103530
2.870000e+02	0.177047	0.100710
2.872500e+02	0.173754	0.098320
2.875000e+02	0.170855	0.095480
2.877500e+02	0.168299	0.092940
2.880000e+02	0.166138	0.091230
2.882500e+02	0.164333	0.088810
2.885000e+02	0.162880	0.085930
2.887500e+02	0.161798	0.084040
2.890000e+02	0.161038	0.082610
2.892500e+02	0.160618	0.080580
2.895000e+02	0.160524	0.078710
2.897500e+02	0.160724	0.077340
2.900000e+02	0.161231	0.075780
2.902500e+02	0.162011	0.074290
2.905000e+02	0.163051	0.073320
2.907500e+02	0.164348	0.072300
2.910000e+02	0.165868	0.071310
2.912500e+02	0.167611	0.070620
2.915000e+02	0.169565	0.070160
2.917500e+02	0.171703	0.069490
2.920000e+02	0.174024	0.068770
2.922500e+02	0.176505	0.068730
2.925000e+02	0.179133	0.068540
2.927500e+02	0.181906	0.068260
2.930000e+02	0.184801	0.068120
2.932500e+02	0.187812	0.068250
2.935000e+02	0.190930	0.068780
2.937500e+02	0.194141	0.069210
2.940000e+02	0.197439	0.069300
2.942500e+02	0.200814	0.069730
2.945000e+02	0.204258	0.069880
2.947500e+02	0.207769	0.069980
2.950000e+02	0.211337	0.071080
2.952500e+02	0.214955	0.072080
2.955000e+02	0.218615	0.072670
2.957500e+02	0.222310	0.073660
2.960000e+02	0.226041	0.074610
2.962500e+02	0.229803	0.075370
2.965000e+02	0.233590	0.076540
2.967500e+02	0.237398	0.077430
2.970000e+02	0.241222	0.078510
2.972500e+02	0.245058	0.079510
2.975000e+02	0.248904	0.080660
2.977500e+02	0.252756	0.081770
2.980000e+02	0.256612	0.082840
2.982500e+02	0.260471	0.084030
2.985000e+02	0.264329	0.084870
2.987500e+02	0.268184	0.086200
2.990000e+02	0.272033	0.087490
2.992500e+02	0.275875	0.088710
2.995000e+02	0.279706	0.090070
2.997500e+02	0.283526	0.091120
3.000000e+02	0.287332	0.092460
3.002500e+02	0.291123	0.093960
3.005000e+02	0.294899	0.095220
3.007500e+02	0.298657	0.096180
3.010000e+02	0.302396	0.097680
3.012500e+02	0.306116	0.099110
3.015000e+02	0.309814	0.100070
3.017500e+02	0.313488	0.101330
3.020000e+02	0.317140	0.102250
3.022500e+02	0.320766	0.103410
3.025000e+02	0.324367	0.104720
3.027500e+02	0.327942	0.105700
3.030000e+02	0.331491	0.106810
3.032500e+02	0.335014	0.108340
3.035000e+02	0.338510	0.110080
3.037500e+02	0.341975	0.110920
3.040000e+02	0.345412	0.111620
3.042500e+02	0.348820	0.112690
3.045000e+02	0.352198	0.113890
3.047500e+02	0.355545	0.115320
3.050000e+02	0.358863	0.116470
3.052500e+02	0.362150	0.117450
3.055000e+02	0.365406	0.118600
3.057500e+02	0.368632	0.119740
3.060000e+02	0.371826	0.120710
3.062500e+02	0.374989	0.121560
3.065000e+02	0.378120	0.122860
3.067500e+02	0.381219	0.123980
3.070000e+02	0.384286	0.124540
3.072500e+02	0.387322	0.125500
3.075000e+02	0.390326	0.126880
3.077500e+02	0.393298	0.127800
3.080000e+02	0.396239	0.128580
3.082500e+02	0.399148	0.129530
3.085000e+02	0.402025	0.130370
3.087500e+02	0.404870	0.131370
3.090000e+02	0.407681	0.132130
3.092500e+02	0.410463	0.132980
3.095000e+02	0.413213	0.133920
3.097500e+02	0.415931	0.134710
3.100000e+02	0.418615	0.135500
3.102500e+02	0.421269	0.136170
3.105000e+02	0.423893	0.136750
3.107500e+02	0.426484	0.137800
3.110000e+02	0.429044	0.138640
